
Image ID,Image File Path/URL,Observation ID,Timestamp
1,https://invasivespecies.org/img/1.jpg,10,2021-02-01 10:00:00
2,https://invasivespecies.org/img/2.jpg,11,2021-02-01 10:01:00
3,https://invasivespecies.org/img/3.jpg,12,2021-02-01 10:02:00
4,https://invasivespecies.org/img/4.jpg,13,2021-02-01 10:03:00
5,https://invasivespecies.org/img/5.jpg,14,2021-02-01 10:04:00
6,https://invasivespecies.org/img/6.jpg,15,2021-02-01 10:05:00
7,https://invasivespecies.org/img/7.jpg,16,2021-02-01 10:06:00
8,https://invasivespecies.org/img/8.jpg,17,2021-02-01 10:07:00
9,https://invasivespecies.org/img/9.jpg,18,2021-02-01 10:08:00
10,https://invasivespecies.org/img/10.jpg,19,2021-02-01 10:09:00
11,https://invasivespecies.org/img/11.jpg,20,2021-02-01 10:10:00
12,https://invasivespecies.org/img/12.jpg,21,2021-02-01 10:11:00
13,https://invasivespecies.org/img/13.jpg,22,2021-02-01 10:12:00
14,https://invasivespecies.org/img/14.jpg,23,2021-02-01 10:13:00
15,https://invasivespecies.org/img/15.jpg,24,2021-02-01 10:14:00
16,https://invasivespecies.org/img/16.jpg,25,2021-02-01 10:15:00
17,https://invasivespecies.org/img/17.jpg,26,2021-02-01 10:16:00
18,https://invasivespecies.org/img/18.jpg,27,2021-02-01 10:17:00
19,https://invasivespecies.org/img/19.jpg,28,2021-02-01 10:18:00
20,https://invasivespecies.org/img/20.jpg,29,2021-02-01 10:19:00
